period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-09,SOH,OHIO,EPG0,Natural Gas,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SOH_MMCF,Ohio Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),,MMCF
2024-09,SCA,CALIFORNIA,EPG0,Natural Gas,VGV,Vented and Flared,N9040CA2,California Natural Gas Vented and Flared (MMcf),,MMCF
2024-09,STX,TEXAS,EPG0,Natural Gas,VGV,Vented and Flared,N9040TX2,Texas Natural Gas Vented and Flared (MMcf),,MMCF
2024-09,SWV,USA-WV,EPG0,Natural Gas,VGV,Vented and Flared,N9040WV2,West Virginia Natural Gas Vented and Flared (MMcf),,MMCF
2024-09,SOK,USA-OK,EPG0,Natural Gas,VGV,Vented and Flared,N9040OK2,Oklahoma Natural Gas Vented and Flared (MMcf),,MMCF
2024-09,SMD,USA-MD,EPG0,Natural Gas,VGV,Vented and Flared,N9040MD2,Maryland Natural Gas Vented and Flared (MMcf),,MMCF
2024-09,SAK,USA-AK,EPG0,Natural Gas,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf),,MMCF
2024-09,SAR,USA-AR,EPG0,Natural Gas,VGQ,Repressuring,N9020AR2,Arkansas Natural Gas Repressuring (MMcf),,MMCF
2024-09,SNY,NEW YORK,EPG0,Natural Gas,VGQ,Repressuring,N9020NY2,New York Natural Gas Repressuring (MMcf),,MMCF
2024-09,SMI,USA-MI,EPG0,Natural Gas,VGQ,Repressuring,N9020MI2,Michigan Natural Gas Repressuring (MMcf),,MMCF
2024-09,SNV,USA-NV,EPG0,Natural Gas,VGQ,Repressuring,N9020NV2,Nevada Natural Gas Repressuring (MMcf),,MMCF
2024-09,SLA,USA-LA,EPG0,Natural Gas,VGQ,Repressuring,N9020LA2,Louisiana Natural Gas Repressuring (MMcf),,MMCF
2024-09,SKS,USA-KS,EPG0,Natural Gas,VGQ,Repressuring,N9020KS2,Kansas Natural Gas Repressuring (MMcf),,MMCF
2024-09,SFL,FLORIDA,EPG0,Natural Gas,VGQ,Repressuring,N9020FL2,Florida Natural Gas Repressuring (MMcf),,MMCF
2024-09,SUT,USA-UT,EPG0,Natural Gas,VGQ,Repressuring,N9020UT2,Utah Natural Gas Repressuring (MMcf),,MMCF
2024-09,SNE,USA-NE,EPG0,Natural Gas,VGM,Marketed Production,N9050NE2,Nebraska Natural Gas Marketed Production (MMcf),,MMCF
2024-09,SMO,USA-MO,EPG0,Natural Gas,VGM,Marketed Production,N9050MO2,Missouri Natural Gas Marketed Production (MMcf),,MMCF
2024-09,SNY,NEW YORK,EPG0,Natural Gas,VGM,Marketed Production,N9050NY2,New York Natural Gas Marketed Production (MMcf),,MMCF
2024-09,SWV,USA-WV,EPG0,Natural Gas,VGM,Marketed Production,N9050WV2,West Virginia Natural Gas Marketed Production (MMcf),281432,MMCF
2024-09,SNE,USA-NE,EPG0,Natural Gas,FGW,Gross Withdrawals,NGM_EPG0_FGW_SNE_MMCFD,Nebraska Natural Gas Gross Withdrawals (Million Cubic Feet per Day),,MMCF/D
2024-09,SMS,USA-MS,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010MS2,Mississippi Natural Gas Gross Withdrawals (MMcf),,MMCF
2024-09,SMS,USA-MS,EPG0,Natural Gas,FGW,Gross Withdrawals,NGM_EPG0_FGW_SMS_MMCFD,Mississippi Natural Gas Gross Withdrawals (Million Cubic Feet per Day),,MMCF/D
2024-09,SMD,USA-MD,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010MD2,Maryland Natural Gas Gross Withdrawals (MMcf),,MMCF
2024-09,SWV,USA-WV,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SWV_MMCF,West Virginia Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,R98,NA,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_R98_MMCF,Other States Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,R3FM,NA,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_R3FM_MMCF,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SPA,USA-PA,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SPA_MMCF,Pennsylvania Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SIN,USA-IN,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SIN_MMCF,Indiana Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SCA,CALIFORNIA,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SCA_MMCF,California Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,NUS,U.S.,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_NUS_MMCF,U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SSD,USA-SD,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SSD_MMCF,South Dakota Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SOK,USA-OK,EPG0,Natural Gas,FGS,Withdrawals from Shale Gas,NGM_EPG0_FGS_SOK_MMCF,Oklahoma Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),,MMCF
2024-09,SLA,USA-LA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012LA2,Louisiana Natural Gas Gross Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,SWV,USA-WV,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012WV2,West Virginia Natural Gas Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,SFL,FLORIDA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FL2,Florida Natural Gas Gross Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,SKY,USA-KY,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012KY2,Kentucky Natural Gas Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,R3FM,NA,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012FX2,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,SAZ,USA-AZ,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012AZ2,Arizona Natural Gas Gross Withdrawals from Oil Wells (MMcf),,MMCF
2024-09,SND,USA-ND,EPG0,Natural Gas,FGO,Withdrawals from Oil Wells,N9012ND2,North Dakota Natural Gas Gross Withdrawals from Oil Wells (MMcf),,MMCF
