period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-09,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),306989,MMCF
2024-08,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),311570,MMCF
2024-07,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),306403,MMCF
2024-06,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),301477,MMCF
2024-05,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),313602,MMCF
2024-04,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),301000,MMCF
2024-03,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),304390,MMCF
2024-02,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),275682,MMCF
2024-01,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),269190,MMCF
2023-12,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),295529,MMCF
2023-11,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),292673,MMCF
2023-10,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),303341,MMCF
2023-09,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),293008,MMCF
2023-08,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),294635,MMCF
2023-07,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),292122,MMCF
2023-06,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),278429,MMCF
2023-05,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),289696,MMCF
2023-04,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),280913,MMCF
2023-03,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),286228,MMCF
2023-02,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),248643,MMCF
2023-01,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),272007,MMCF
2022-12,R3FM,NA,EPG0,Natural Gas,VG9,Extraction Loss,NGM_EPG0_VG9_R3FM_MMCF,Gulf Of Mexico Natural Gas Plant Liquids Production (Million Cubic Feet),6294,MMCF
2022-12,SPA,USA-PA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SPA_2,Pennsylvania Natural Gas Plant Liquids Production (Million Cubic Feet),8382,MMCF
2022-12,SWV,USA-WV,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SWV_2,West Virginia Natural Gas Plant Liquids Production (Million Cubic Feet),19313,MMCF
2022-12,STX,TEXAS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_STX_2,Texas Natural Gas Plant Liquids Production (Million Cubic Feet),135175,MMCF
2022-12,SKS,USA-KS,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SKS_2,Kansas Natural Gas Plant Liquids Production (Million Cubic Feet),1180,MMCF
2022-12,NUS,U.S.,EPG0,Natural Gas,VG9,Extraction Loss,N9060US2,U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),262882,MMCF
2022-12,SMI,USA-MI,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SMI_2,Michigan Natural Gas Plant Liquids Production (Million Cubic Feet),73,MMCF
2022-12,SCO,COLORADO,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SCO_2,Colorado Natural Gas Plant Liquids Production (Million Cubic Feet),17501,MMCF
2022-12,SUT,USA-UT,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SUT_2,Utah Natural Gas Plant Liquids Production (Million Cubic Feet),895,MMCF
2022-12,SND,USA-ND,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SND_2,North Dakota Natural Gas Plant Liquids Production (Million Cubic Feet),18287,MMCF
2022-12,SFL,FLORIDA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SFL_2,Florida  Natural Gas Plant Liquids Production (Million Cubic Feet),12,MMCF
2022-12,SLA,USA-LA,EPG0,Natural Gas,VG9,Extraction Loss,NA1150_SLA_2,Louisiana  Natural Gas Plant Liquids Production (Million Cubic Feet),2271,MMCF
