period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023,SGA,USA-GA,EPG0,Natural Gas,VN3,Number of Residential Consumers,NA1501_SGA_8,Georgia Natural Gas Number of Residential Consumers (Count),1904912,COUNT
2023,SME,USA-ME,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SME_8,Maine Natural Gas Number of Industrial Consumers - Sales (Count),75,COUNT
2023,SWY,USA-WY,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SWY_10,Wyoming Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),755371,MCF
2023,SKY,USA-KY,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SKY_8,Kentucky Natural Gas Number of Industrial Consumers (Count),1894,COUNT
2023,SOH,OHIO,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SOH_8,Ohio Natural Gas Number of Commercial Consumers - Transported (Count),229913,COUNT
2023,SFL,FLORIDA,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SFL_8,Florida Natural Gas Number of Commercial Consumers - Transported (Count),31701,COUNT
2023,SUT,USA-UT,EPG0,Natural Gas,VN5,Number of Commercial Consumers,NA1531_SUT_8,Utah Natural Gas Number of Commercial Consumers (Count),74412,COUNT
2023,SCA,CALIFORNIA,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SCA_8,California Natural Gas Number of Industrial Consumers - Transported (Count),4094,COUNT
2023,SNM,USA-NM,EPG0,Natural Gas,VN8,Number of Industrial Consumers - Sales,NA1568_SNM_8,New Mexico Natural Gas Number of Industrial Consumers - Sales (Count),501,COUNT
2023,SPA,USA-PA,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SPA_8,Pennsylvania Natural Gas Number of Industrial Consumers - Transported (Count),2798,COUNT
2023,SMO,USA-MO,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SMO_8,Missouri Natural Gas Number of Industrial Consumers - Transported (Count),743,COUNT
2023,SLA,USA-LA,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SLA_8,Louisiana Natural Gas Number of Industrial Consumers - Transported (Count),339,COUNT
2023,SAK,USA-AK,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SAK_8,Alaska Natural Gas Number of Industrial Consumers - Transported (Count),1,COUNT
2023,SMI,USA-MI,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SMI_8,Michigan Natural Gas Number of Industrial Consumers - Transported (Count),1337,COUNT
2023,SIL,USA-IL,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SIL_8,Illinois Natural Gas Number of Industrial Consumers - Transported (Count),7653,COUNT
2023,SNY,NEW YORK,EPG0,Natural Gas,VN9,Number of Industrial Consumers - Transported,NA1569_SNY_8,New York Natural Gas Number of Industrial Consumers - Transported (Count),1945,COUNT
2023,SWY,USA-WY,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SWY_8,Wyoming Natural Gas Number of Industrial Consumers (Count),84,COUNT
2023,SMS,USA-MS,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SMS_10,Mississippi Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),157542,MCF
2023,SAZ,USA-AZ,EPG0,Natural Gas,VNT,Number of Residential Consumers - Transported,NA1509_SAZ_8,Arizona Natural Gas Number of Residential Consumers - Transported (Number of Elements),2,COUNT
2023,SMD,USA-MD,EPG0,Natural Gas,VN4,Number of Residential Consumers - Sales,NA1508_SMD_8,Maryland Natural Gas Number of Residential Consumers - Sales (Count),1036990,COUNT
2023,SRI,USA-RI,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SRI_8,Rhode Island Natural Gas Number of Industrial Consumers (Count),290,COUNT
2023,SAR,USA-AR,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SAR_8,Arkansas Natural Gas Number of Industrial Consumers (Count),866,COUNT
2023,SAR,USA-AR,EPG0,Natural Gas,VP7,Average Annual Consumption per Industrial Consumer,NA1561_SAR_10,Arkansas Natural Gas Average Annual Consumption per Industrial Consumer (Mcf),123850,MCF
2023,SCA,CALIFORNIA,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SCA_8,California Natural Gas Number of Commercial Consumers - Transported (Count),39263,COUNT
2023,SAZ,USA-AZ,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SAZ_8,Arizona Natural Gas Number of Commercial Consumers - Transported (Count),368,COUNT
2023,SIL,USA-IL,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SIL_8,Illinois Natural Gas Number of Industrial Consumers (Count),22722,COUNT
2023,SNE,USA-NE,EPG0,Natural Gas,VNC,Number of Commercial Consumers - Transported,NA1539_SNE_8,Nebraska Natural Gas Number of Commercial Consumers - Transported (Count),15525,COUNT
2023,SFL,FLORIDA,EPG0,Natural Gas,VN7,Number of Industrial Consumers,NA1561_SFL_8,Florida Natural Gas Number of Industrial Consumers (Count),497,COUNT
2023,SVT,USA-VT,EPG0,Natural Gas,VN6,Number of Commercial Consumers - Sales,NA1538_SVT_8,Vermont Natural Gas Number of Commercial Consumers - Sales (Count),6284,COUNT
