period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-09,NUS-NMX,MEX,EPG0,Natural Gas,ENP,Pipeline Exports,N9132MX2,U.S. Natural Gas Pipeline Exports to Mexico (MMcf),205539,MMCF
2024-09,NUS-NCA,CAN,EPG0,Natural Gas,PNP,Pipeline Exports (Price),N9132CN3,Price of U.S. Natural Gas Pipeline Exports to Canada (Dollars per Thousand Cubic Feet),1.88,$/MCF
2024-09,NUS-NES,SLV,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NES_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to El Salvador (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NFI,DEU,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NFI_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to Finland (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NID,IDN,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NID_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to Indonesia (Dollars per Thousand Cubic Feet),5.51,$/MCF
2024-09,NUS-NNU,NIC,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NNU_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to Nicaragua (Million Cubic Feet),0,MMCF
2024-09,NUS-NTC,ARE,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NTC_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to United Arab Emirates (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NIS,ISR,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NIS_DMCF,Price of Liquefied U.S. Natural Gas Exports to Israel (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NBF,BHS,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NBF_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Bahamas (Dollars per Thousand Cubic Feet),10.39,$/MCF
2024-09,NUS-NMY,MYS,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NMY_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Malaysia (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NLH,LTU,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NLH_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Lithuania (Million Cubic Feet),6878,MMCF
2024-09,NUS-NKS,KOR,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NKS_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessels to South Korea (Dollars per Thousand Cubic Feet),5.41,$/MCF
2024-09,NUS-NM6,NA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NM6_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Malta (Million Cubic Feet),0,MMCF
2024-09,NUS-NKU,KWT,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NKU_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Kuwait (Dollars per Thousand Cubic Feet),11.28,$/MCF
2024-09,NUS-NEG,EGY,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NEG_MMCF,Liquefied U.S. Natural Gas Exports by Vessels to Egypt (Million Cubic Feet),10957,MMCF
2024-09,NUS-NPM,PAN,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NPM_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Panama (Million Cubic Feet),2382,MMCF
2024-09,NUS-NMX,MEX,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NMX_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Mexico (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NTU,TUR,EPG0,Natural Gas,ERE,Re-Exports,NGM_EPG0_ERE_NUS-NTU_DMCF,Price of Liquefied U.S. Natural Gas Re-Exports to Turkiye (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NSP,ESP,EPG0,Natural Gas,ERE,Re-Exports,NGM_EPG0_ERE_NUS-NSP_MMCF, U.S. Liquefied Natural Gas Re-Exports to Spain (Million Cubic Feet),0,MMCF
2024-09,NUS-NCH,CHN,EPG0,Natural Gas,ERE,Re-Exports,NGM_EPG0_ERE_NUS-NCH_MMCF,U.S. Liquefied Natural Gas Re-Exports to China (Million Cubic Feet),0,MMCF
2024-09,NUS-Z00,U.S.,EPG0,Natural Gas,ERE,Re-Exports,NGM_EPG0_ERE_NUS-Z00_MMCF,Liquefied U.S. Natural Gas Re-Exports (MMcf),0,MMCF
2024-09,NUS-Z00,U.S.,EPG0,Natural Gas,EVT,Exports by Vessel and Truck,NGM_EPG0_EVT_NUS-Z00_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel and Truck (Dollars per Thousand Cubic Feet),6.09,$/MCF
2024-09,NUS-NAC,ATG,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NAC_DMCF,Price of U.S. Liquefied Natural Gas Exports by Vessel to Antigua and Barbuda (Dollars per Thousand Cubic Feet),10.8,$/MCF
2024-09,NUS-NIT,ITA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NIT_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Italy (Dollars per Thousand Cubic Feet),6.21,$/MCF
2024-09,NUS-NAR,ARG,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NAT_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Argentina  (Million Cubic Feet),0,MMCF
2024-09,NUS-NTU,TUR,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NTU_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Turkiye (MMcf),0,MMCF
2024-09,NUS-NDR,DOM,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NDR_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Dominican Republic (Million Cubic Feet),5242,MMCF
2024-09,NUS-NJM,JAM,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NJM_MMCF,Liquefied U.S. Natural Gas Exports by Vessel to Jamaica (Million Cubic Feet),3523,MMCF
2024-09,NUS-NHR,HRV,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NHR_MMCF,U.S. Liquefied Natural Gas Exports by Vessel to Croatia (Million Cubic Feet),0,MMCF
2024-09,NUS-NM6,NA,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NM6_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Malta (Dollars per Thousand Cubic Feet),,$/MCF
2024-09,NUS-NEG,EGY,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NEG_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessels to Egypt (Dollars per Thousand Cubic Feet),7.31,$/MCF
2024-09,NUS-NPL,POL,EPG0,Natural Gas,EVE,Exports by Vessel,NGM_EPG0_EVE_NUS-NPL_DMCF,Price of Liquefied U.S. Natural Gas Exports by Vessel to Poland (Dollars per Thousand Cubic Feet),4.77,$/MCF
