period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024-09,R48,NA,EPG0,Natural Gas,SAB,Underground Storage Base Gas,NGM_EPG0_SAB_R48_MMCF,Lower 48 States Total Natural Gas in Underground Storage (Base Gas) (MMcf),4468264,MMCF
2024-09,SCO,COLORADO,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060CO2,Colorado Natural  Gas Underground Storage Withdrawals (MMcf),789,MMCF
2024-09,R86,NA,EPG0,Natural Gas,SAW,Underground Storage Withdrawals,N5060862,Mountain Region Natural  Gas Underground Storage Withdrawals (MMcf),2574,MMCF
2024-09,SNM,USA-NM,EPG0,Natural Gas,SAT,Total Underground Storage,N5030NM2,New Mexico Natural Gas Underground Storage Volume (MMcf),79999,MMCF
2024-09,R86,NA,EPG0,Natural Gas,SAT,Total Underground Storage,N5030862,Mountain Region Natural Gas Underground Storage Volume (MMcf),729089,MMCF
2024-09,SVA,USA-VA,EPG0,Natural Gas,SAT,Total Underground Storage,N5030VA2,Virginia Natural Gas Underground Storage Volume (MMcf),8227,MMCF
2024-09,SLA,USA-LA,EPG0,Natural Gas,SAT,Total Underground Storage,N5030LA2,Louisiana Natural Gas Underground Storage Volume (MMcf),607689,MMCF
2024-09,SMI,USA-MI,EPG0,Natural Gas,SAT,Total Underground Storage,N5030MI2,Michigan Natural Gas Underground Storage Volume (MMcf),1009498,MMCF
2024-09,SKY,USA-KY,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020KY2,Kentucky Natural Gas in Underground Storage (Working Gas) (MMcf),91606,MMCF
2024-09,SIL,USA-IL,EPG0,Natural Gas,SAO,Underground Storage Working Gas,N5020IL2,Illinois Natural Gas in Underground Storage (Working Gas) (MMcf),218534,MMCF
2024-09,SCA,CALIFORNIA,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070CA2,California Natural Gas Underground Storage Net Withdrawals (MMcf),-4083,MMCF
2024-09,SAL,USA-AL,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070AL2,Alabama Natural Gas Underground Storage Net Withdrawals (MMcf),884,MMCF
2024-09,SPA,USA-PA,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070PA2,Pennsylvania Natural Gas Underground Storage Net Withdrawals (MMcf),-39778,MMCF
2024-09,NUS,U.S.,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070US2,U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),-251504,MMCF
2024-09,SIA,USA-IA,EPG0,Natural Gas,SAN,Underground Storage Net Withdrawals,N5070IA2,Iowa Natural Gas Underground Storage Net Withdrawals (MMcf),-15502,MMCF
2024-09,SNE,USA-NE,EPG0,Natural Gas,SAI,Underground Storage Injections,N5050NE2,Nebraska Natural Gas Injections into Underground Storage (MMcf),680,MMCF
2024-09,SMD,USA-MD,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040MD2,Maryland Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),-336,MMCF
2024-09,SNY,NEW YORK,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040NY2,New York Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),-439,MMCF
2024-09,SMO,USA-MO,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040MO2,Missouri Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),202,MMCF
2024-09,R91,NA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040912,Pacific Region Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),17484,MMCF
2024-09,SCO,COLORADO,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040CO4,Colorado Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),-4.1,%
2024-09,SPA,USA-PA,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040PA2,Pennsylvania Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),4671,MMCF
2024-09,SOK,USA-OK,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040OK2,Oklahoma Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (MMcf),4908,MMCF
2024-09,SNM,USA-NM,EPG0,Natural Gas,SAH,Underground Change in Working Gas,N5040NM4,New Mexico Natural Gas in Underground Storage - Change in Working Gas from Same Month Previous Year (%),52.4,%
