"Year","Report<BR>State","Plant Name","Owner Company","Operator Company","County Name","Zipcode","Plant Capacity","Plant Flow","BTU Content","Dry Gas Storage Capacity","NG Liquid Storage Capacity"
"2017","AL","Atmore Plant","GAS PROCESSORS INC","GAS PROCESSORS INC","Escambia","39502","9","9","1275","","2857"
"2017","AL","Big Escambia Creek Gas Processing Plant","Escambia Operating Company, LLC","Vanguard Natural Resources Inc.","Escambia","36502","50","29","900","","34000"
"2017","AL","Castleberry Plant","GAS PROCESSORS INC","GAS PROCESSORS INC","CONECUH","36432","9","9","1275","","2857"
"2017","AL","Chatom Plant","","American Midstream Chatom, LLC","Washington","36518","12","7","1200","","6190"
"2017","AL","Lufkin Plant","","Hilcorp Energy Co.","Monroe","36445","3","1","1100","","952"
"2017","AL","Mobile Bay","DCP Operating Company, LP","DCP Operating Company, LP","Mobile","36523","300","60","1090","","70000"
"2017","AL","Monroeville Plant","Palmer Petroleum Inc","Palmer Petroleum Inc","Monroe","36460","2","0","1300","","2142"
"2017","AL","Monroeville Plant","Palmer Petroleum Inc","Palmer Petroleum Inc","Monroe","36460","2","0","1300","","2142"
"2017","AL","North Beach Plant","Plains Gas Solutions, LLC","","Conecuha","36401","10","","","","2000"
"2017","AL","Wildfork Plant","GAS PROCESSORS INC","GAS PROCESSORS INC","Monroe","36445","9","9","1275","","2857"
"2017","AL","Williams Mobile Bay Processing Plant","The Williams Companies, Inc.","The Williams Companies, Inc.","Mobile","36523","690","350","1135","",""
"2017","AL","Yellowhammer Gas Plant","W&T Offshore, Inc.","W&T Offshore, Inc.","Mobile","36523","200","60","1110","","7142"
"2017","AR","Dorcheat Gas Processing Plant","Bonanza Creek Energy, Inc.","Bonanza Creek Energy, Inc.","Columbia","71753","12","11","1188","","3857"
"2017","Al","Hatter`s Pond","","Hilcorp Energy Co.","Mobile","36525","70","8","1295","","15000"
"2017","CA","Belridge Gas Plant","Seneca Resources Corporation","Seneca Resources Corporation","Kern","93251","14","8","1148","","8346"
"2017","CA","CRESTWOOD","CRESTWOOD MIDSTREAM PARTNERS","CRESTWOOD WEST COAST","KERN","93276","24","1","1271","","373"
"2017","CA","California-San Joaquin Basin Onshore CA10","California Resources Corporation","Elk Hills Power LLC","Kern","93276","225","215","1220","","110000"
"2017","CA","Greeley Gas Plant","Crimson Resource Management Corp","Crimson Resource Management Corp","Kern","93309","0.7","0.45","1200","0","238"
"2017","CA","Harbor City","","Brea Canon Oil Co., Inc.","Los Angeles","90710-1400","","","","",""
"2017","CA","Lompoc Oil & Gas Plant","Freeport-McMoRan Oil & Gas - 100%","Freeport-McMoRan Oil & Gas","Santa Barbara","93436","15","3","1176","","2140"
